Ano,Vencedor,Perdedor,Fase,Campeonato
2009,Cruzeiro,São Paulo,Quartas de final,Libertadores
2009,Fluminense,Flamengo,Primeira fase,Sul-Americana
2009,Corinthians,Fluminense,Quartas de final,Copa do Brasil
2010,Santos,Grêmio,Semifinal,Copa do Brasil
2010,Internacional,São Paulo,Semifinal,Libertadores
2010,Flamengo,Corinthians,Oitavas de final,Libertadores
2010,São Paulo,Cruzeiro,Quartas de final,Libertadores
2010,Grêmio,Fluminense,Quartas de final,Copa do Brasil
2010,Palmeiras,Atlético,Quartas de final,Sul-Americana
2010,Santos,Atlético,Quartas de final,Copa do Brasil
2011,Vasco,Palmeiras,Segunda fase,Sul-Americana
2011,Botafogo,Atlético,Segunda fase,Sul-Americana
2012,Palmeiras,Grêmio,Semifinal,Copa do Brasil
2012,Corinthians,Santos,Semifinal,Libertadores
2012,Corinthians,Vasco,Quartas de final,Libertadores
2012,Fluminense,Internacional,Oitavas de final,Libertadores
2013,Grêmio,Santos,Oitavas de final,Copa do Brasil
2013,Corinthians,São Paulo,Final,Recopa Sul-Americana
2013,Grêmio,Corinthians,Quartas de final,Copa do Brasil
2013,Flamengo,Cruzeiro,Oitavas de final,Copa do Brasil
2013,Atlético,São Paulo,Oitavas de final,Libertadores
2013,Botafogo,Atlético,Oitavas de final,Copa do Brasil
2013,Flamengo,Botafogo,Quartas de final,Copa do Brasil
2014,Cruzeiro,Santos,Semifinal,Copa do Brasil
2014,Santos,Grêmio,Oitavas de final,Copa do Brasil
2014,Atlético,Cruzeiro,Final,Copa do Brasil
2014,Atlético,Palmeiras,Oitavas de final,Copa do Brasil
2014,Atlético,Flamengo,Semifinal,Copa do Brasil
2014,Santos,Botafogo,Quartas de final,Copa do Brasil
2014,Atlético,Corinthians,Quartas de final,Copa do Brasil
2015,Palmeiras,Cruzeiro,Oitavas de final,Copa do Brasil
2015,Palmeiras,Internacional,Quartas de final,Copa do Brasil
2015,Palmeiras,Santos,Final,Copa do Brasil
2015,Santos,São Paulo,Semifinal,Copa do Brasil
2015,Santos,Corinthians,Oitavas de final,Copa do Brasil
2015,Vasco,Flamengo,Oitavas de final,Copa do Brasil
2015,São Paulo,Vasco,Quartas de final,Copa do Brasil
2015,Cruzeiro,São Paulo,Oitavas de final,Libertadores
2015,Fluminense,Grêmio,Quartas de final,Copa do Brasil
2015,Palmeiras,Fluminense,Semifinal,Copa do Brasil
2015,Internacional,Atlético,Oitavas de final,Libertadores
2016,Grêmio,Palmeiras,Quartas de final,Copa do Brasil
2016,Santos,Vasco,Oitavas de final,Copa do Brasil
2016,Internacional,Santos,Quartas de final,Copa do Brasil
2016,Grêmio,Cruzeiro,Semifinal,Copa do Brasil
2016,Cruzeiro,Corinthians,Quartas de final,Copa do Brasil
2016,Cruzeiro,Botafogo,Oitavas de final,Copa do Brasil
2016,Grêmio,Atlético,Final,Copa do Brasil
2016,São Paulo,Atlético,Quartas de final,Libertadores
2016,Atlético,Internacional,Semifinal,Copa do Brasil
2016,Corinthians,Fluminense,Oitavas de final,Copa do Brasil
2017,Cruzeiro,Palmeiras,Quartas de final,Copa do Brasil
2017,Palmeiras,Internacional,Oitavas de final,Copa do Brasil
2017,Flamengo,Santos,Quartas de final,Copa do Brasil
2017,Internacional,Corinthians,16-avos de final,Copa do Brasil
2017,Cruzeiro,Grêmio,Semifinal,Copa do Brasil
2017,Cruzeiro,Flamengo,Final,Copa do Brasil
2017,Cruzeiro,São Paulo,16-avos de final,Copa do Brasil
2017,Botafogo,Atlético,Quartas de final,Copa do Brasil
2017,Grêmio,Fluminense,Oitavas de final,Copa do Brasil
2017,Grêmio,Botafogo,Quartas de final,Libertadores
2017,Flamengo,Fluminense,Quartas de final,Sul-Americana
2017,Flamengo,Botafogo,Semifinal,Copa do Brasil
2018,Cruzeiro,Palmeiras,Semifinais,Copa do Brasil
2018,Cruzeiro,Santos,Quartas de final,Copa do Brasil
2018,Flamengo,Grêmio,Quartas de final,Copa do Brasil
2018,Cruzeiro,Corinthians,Final,Copa do Brasil
2018,Corinthians,Flamengo,Semifinais,Copa do Brasil
2018,Cruzeiro,Flamengo,Oitavas de final,Libertadores
2019,Grêmio,Palmeiras,Quartas de final,Libertadores
2019,Internacional,Palmeiras,Quartas de final,Copa do Brasil
2019,Santos,Vasco,16-avos de final,Copa do Brasil
2019,Internacional,Cruzeiro,Semifinal,Copa do Brasil
2019,Flamengo,Internacional,Quartas de final,Libertadores
2019,Flamengo,Grêmio,Semifinal,Libertadores
2019,Flamengo,Corinthians,Oitavas de final,Copa do Brasil
2019,Cruzeiro,Fluminense,Oitavas de final,Copa do Brasil
2019,Cruzeiro,Atlético,Quartas de final,Copa do Brasil
2019,Atlético,Botafogo,Oitavas de final,Sul-Americana
2019,Atlético,Santos,Oitavas de final,Copa do Brasil
2019,Corinthians,Fluminense,Quartas de final,Sul-Americana
2020,Palmeiras,Grêmio,Final,Copa do Brasil
2020,Palmeiras,Santos,Final,Libertadores
2020,Santos,Grêmio,Quartas de final,Libertadores
2020,Grêmio,São Paulo,Semifinal,Copa do Brasil
2020,São Paulo,Flamengo,Quartas de final,Copa do Brasil
2020,Botafogo,Vasco,Terceira fase,Copa do Brasil
2021,Palmeiras,São Paulo,Quartas de final,Libertadores
2021,Flamengo,Palmeiras,Final,Supercopa do Brasil
2021,Palmeiras,Flamengo,Final,Copa Libertadores
2021,Flamengo,Grêmio,Quartas de final,Copa do Brasil
2021,São Paulo,Vasco,Oitavas de final,Copa do Brasil
2021,Atlético,Fluminense,Quartas de final,Copa do Brasil
2021,Palmeiras,Atlético,Semifinal,Libertadores
2022,São Paulo,Palmeiras,Oitavas de final,Copa do Brasil
2022,Corinthians,Santos,Oitavas de final,Copa do Brasil
2022,Flamengo,Corinthians,Quartas de final,Libertadores
2022,Flamengo,Corinthians,Final,Copa do Brasil
2022,Flamengo,São Paulo,Semifinal,Copa do Brasil
2022,Fluminense,Cruzeiro,Oitavas de final,Copa do Brasil
2022,Palmeiras,Atlético,Quartas de final,Libertadores
2022,Atlético,Flamengo,Final,Supercopa do Brasil
2022,Flamengo,Atlético,Oitavas de final,Copa do Brasil
2022,Corinthians,Fluminense,Semifinal,Copa do Brasil
2023,São Paulo,Palmeiras,Oitavas de final,Copa do Brasil
2023,São Paulo,Palmeiras,Quartas de final,Copa do Brasil
2023,Palmeiras,Flamengo,Final,Supercopa do Brasil
2023,Grêmio,Cruzeiro,Oitavas de final,Copa do Brasil
2023,Flamengo,Grêmio,Semifinal,Copa do Brasil
2023,São Paulo,Corinthians,Semifinal,Copa do Brasil
2023,São Paulo,Flamengo,Final,Copa do Brasil
2023,Palmeiras,Atlético,Oitavas de final,Libertadores
2023,Flamengo,Fluminense,Oitavas de final,Copa do Brasil
2023,Corinthians,Atlético,Oitavas de final,Copa do Brasil
2024,São Paulo,Palmeiras,Final,Supercopa do Brasil
2024,Flamengo,Palmeiras,Oitavas de final,Copa do Brasil
2024,Flamengo,Corinthians,Semifinal,Copa do Brasil
