"id_jogo","rodada","data","time_mandante","gols_mandante","gols_visitante","time_visitante","detalhes","pontos_mandante","pontos_visitante"
63,6,2003-04-26,"Vitória",0,3,"Internacional","Flávio Luiz 2', Nilmar 78', 82'",0,3
64,6,2003-04-26,"Atlético-MG",1,2,"Coritiba","André Luiz Nascimento 82'; Tcheco 37', Marco Brito 45+3'",0,3
65,6,2003-04-27,"Grêmio",0,1,"Fluminense","Fábio Bala 74'",0,3
66,6,2003-04-27,"Corinthians",1,1,"Flamengo","Liédson 54'; Athirson 36'",1,1
67,6,2003-04-27,"Vasco da Gama",1,0,"São Caetano","Marques 1'",3,0
68,6,2003-04-27,"Goiás",7,0,"Juventude","Danilo 1', 39', Dimba 18', 20', Caíco 25'p, Michel 61', Wando 82'",3,0
69,6,2003-04-27,"Paysandu",5,2,"São Paulo","Robgol 25', 27', 32', Lecheva 65', Iarley 75'; Reinaldo Oliveira 58', Luís Fabiano 86'",3,0
70,6,2003-04-27,"Santos",4,0,"Fortaleza","Renato Florêncio 34', 85', Nenê 51', Douglas 70'",3,0
71,6,2003-04-27,"Atlético-PR",5,2,"Criciúma","Ilan 42'p, Juliano 57', Luciano Santos 58', Dagoberto 80', Fernandinho 90'; Tico 27', Paulo Baier 31'",3,0
72,6,2003-04-27,"Figueirense",0,0,"Ponte Preta","",1,1
73,7,2003-05-03,"Flamengo",2,1,"Vitória","Jean Ferreira 22', Igor Freire 87'; Nádson 7'",3,0
74,7,2003-05-03,"Bahia",2,1,"Grêmio","Nonato 29', Jair 89'; Caio Decossau 42'",3,0
75,7,2003-05-03,"Cruzeiro",5,2,"Atlético-PR","Alex 6', 90', Aristizábal 23', 69', 85'; Ilan 19', Dagoberto 48'",3,0
76,7,2003-05-04,"Fluminense",0,0,"Vasco da Gama","",1,1
77,7,2003-05-04,"Fortaleza",1,2,"Corinthians","Fabrício Scamato 49'; Rogério Régis 67'p, Liédson 81'",0,3
78,7,2003-05-04,"São Paulo",3,2,"Figueirense","Luís Fabiano 55', 80', Gustavo Nery 90'; Sandro Hiroshi 14', Luiz Fernando Acuña 56'",3,0
79,7,2003-05-04,"São Caetano",2,0,"Paysandu","Anaílson 46', 69'",3,0
80,7,2003-05-04,"Internacional",2,1,"Goiás","Diego Gavilán 27', Flávio Luiz 90'p; Dimba 67'",3,0
81,7,2003-05-04,"Ponte Preta",2,1,"Atlético-MG","Vaguinho 68', Fabríco Carvalho 90'p; Fábio Júnior 90+3'p",3,0
82,7,2003-05-04,"Juventude",1,1,"Guarani","Fernando Menegazzo 1'; Rodrigão 63'",1,1
83,7,2003-05-04,"Coritiba",2,1,"Paraná","Edu Sales 65', Marcel 80'; Cristiano Avalos 31'",3,0
84,7,2003-05-04,"Criciúma",1,3,"Santos","Paulo Baier 50'; Nenê 34', 90+2', Robinho 57'",0,3
85,8,2003-05-10,"Goiás",1,1,"Flamengo","Dimba 58'; Fernando Baiano 11'",1,1
86,8,2003-05-10,"Corinthians",3,0,"Criciúma","Fabrício 42', Leandro Amaral 58', Fábio Luciano 82'",3,0
87,8,2003-05-10,"Santos",0,2,"Cruzeiro","Aristizábal 48', Mota 87'",0,3
88,8,2003-05-10,"Paraná",3,2,"Ponte Preta","Milton 11', Renaldo 69', Ageu 76'; Ageu 30'og, Fabrício Carvalho 57'",3,0
89,8,2003-05-11,"Vasco da Gama",1,1,"Bahia","Cadu 82'; Nonato 52'",1,1
90,8,2003-05-11,"Paysandu",2,2,"Fluminense","Wélber 6', Robgol 55'; César 35', Sorato 50'",1,1
91,8,2003-05-11,"Atlético-MG",2,2,"São Paulo","Ferrugem 10', Lúcio Flávio 65'; Luís Fabiano 21', Kaká 35'",1,1
92,8,2003-05-11,"Vitória",2,1,"Fortaleza","Dudu Cearense 3', Robson Luís 71'; Alysson 39'",3,0
93,8,2003-05-11,"Grêmio",1,0,"Coritiba","Christian Corrêa 43'",3,0
