id,time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,campeonato,data,pontos_mandante,pontos_visitante,detalhes
115,Corinthians,3,0,Goiás,10,2002,Sep 12,3,0," [Deivid 36', 42', Rogério Régis 39']"
116,Cruzeiro,0,2,Guarani,10,2002,Sep 12,0,3," [Sérgio Alves 51', João Paulo 87']"
117,Gama,1,2,Fluminense,10,2002,Sep 12,0,3," [Dimba 9'; César 25', Magno Alves 63']"
118,Internacional,2,4,Figueirense,11,2002,Sep 14,0,3," [Márcio 86', Leandrão 90+1'; Thiago Gentil 28', Selmir 59', Marcelinho 85', "
119,Santos,2,0,Grêmio,11,2002,Sep 14,3,0," [Alberto 33', Léo 89']"
120,Paraná,2,2,Atlético-PR,11,2002,Sep 14,1,1," [Émerson 28', Fabinho 56'; Kléber 22', 33']"
121,Palmeiras,1,2,Bahia,11,2002,Sep 14,0,3," [Alexandre 71'; Gil Baiano 14', Geraldo 88']"
122,São Paulo,6,0,Fluminense,11,2002,Sep 15,3,0," [Júlio Baptista 6', Kaká 56', Régis 69', Leandro Amaral 81', Luís Fabiano 85', 89']"
123,Coritiba,3,1,Goiás,11,2002,Sep 15,3,0," [Reginaldo Nascimento 74', Danilo 79', Lúcio Flávio 85'; Neném 39']"
124,Botafogo,1,1,Vasco da Gama,11,2002,Sep 15,1,1, [Carlos Alberto 44'; Cadu 9']
125,Guarani,0,0,Corinthians,11,2002,Sep 15,1,1,NA
126,São Caetano,4,0,Gama,11,2002,Sep 15,3,0," [Wágner 4', Somália 15', 58', Lúcio 44']"
127,Vitória,4,3,Portuguesa,11,2002,Sep 15,3,0," [Fernando 18', André 56', Ramalho 61', Marcos 89'; Alexandre Gaúcho 41', 74', Júnior 57']"
128,Juventude,1,0,Atlético-MG,11,2002,Sep 15,3,0, [Índio 71']
129,Cruzeiro,3,1,Paysandu,11,2002,Sep 15,3,0," [Marcelo Ramos 51', 53', Alessandro 90'; Gino 2']"
130,Vasco da Gama,1,2,Santos,12,2002,Sep 18,0,3," [Rodrigo Souza 16'; Elano 5', Alex Rodrigo 62']"
131,Portuguesa,2,0,Botafogo,12,2002,Sep 18,3,0," [Édson Araújo 76', Ricardo Oliveira 77']"
132,Goiás,3,0,São Caetano,12,2002,Sep 18,3,0," [Neném 50', Jefferson Feijão 65', Tiago 82']"
133,Figueirense,3,1,Cruzeiro,12,2002,Sep 18,3,0," [Igor 21', Thiago Gentil 39', William 90+2'; Luisão 45']"
134,Paysandu,1,1,Coritiba,12,2002,Sep 18,1,1, [Jóbson 90+1'p; Lima 30']
135,Atlético-PR,1,3,Gama,12,2002,Sep 18,0,3," [Kléber 70'; Dimba 7', 75', Rafael 27']"
136,Bahia,2,0,São Paulo,12,2002,Sep 18,3,0," [Geraldo 75', Bebeto Campos 90+1']"
137,Ponte Preta,2,0,Palmeiras,12,2002,Sep 18,3,0," [Elivélton 57'p, 62'p]"
138,Grêmio,2,0,Juventude,12,2002,Sep 19,3,0," [Adriano Chuva 38', Tinga 76']"
139,Corinthians,2,1,Vitória,12,2002,Sep 19,3,0," [Deivid 25', Fábio Luciano 57'; Allann Delon 85']"
140,Atlético-MG,4,1,Paraná,12,2002,Sep 19,3,0," [Souza 9', Mancini 56', 63, 72'; Rodrigão 71']"
